Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
ATOS;FR0000051732;ATO;"Euronext Paris";EUR;73.08;74.18;72.76;73.86;"15/12/20 17:35";CET;439145;32354624.38
"ATRIUM EUR REALEST";JE00B3DCF752;ATRS;"Euronext Amsterdam";EUR;2.47;2.47;2.43;2.43;"15/12/20 17:29";CET;12505;30668.46
"Austevoll Seafood";NO0010073489;AUSS;"Oslo Børs";NOK;81.30;81.70;80.60;81.55;"15/12/20 16:25";CET;149277;1142263.74
AXA;FR0000120628;CS;"Euronext Paris";EUR;19.598;19.964;19.526;19.93;"15/12/20 17:35";CET;5324734;105837169.10
B.COM.PORTUGUES;PTBCP0AM0015;BCP;"Euronext Lisbon";EUR;0.123;0.127;0.1225;0.127;"15/12/20 22:35";BST;42663989;5341898.48
"BAINS MER MONACO";MC0000031187;BAIN;"Euronext Paris";EUR;63.60;63.60;62.60;63.40;"15/12/20 17:19";CET;921;58339.40
Bakkafrost;FO0000000179;BAKKA;"Oslo Børs";NOK;545.00;549.00;540.00;549.00;"15/12/20 16:27";CET;88440;4559239.73
"BANK OF IR NC PREF";IE0000730790;DD7E;"Euronext Dublin";EUR;23.00;23.00;23.00;23.00;"25/10/19 03:30";IST;87612;2015076.00
"BANK OF IR NCP STF";IE0000730808;DD7D;"Euronext Dublin";EUR;17.00;-;-;17.00;"11/09/19 14:39";IST;-;-
"BANK OF IRELAND GP";IE00BD1RP616;BIRG;"Euronext Dublin";EUR;3.002;3.19;2.992;3.168;"15/12/20 21:07";IST;2174305;6814933.14
BARCO;BE0974362940;BAR;"Euronext Brussels";EUR;17.70;18.12;17.66;18.02;"15/12/20 17:35";CET;135798;2436776.32
BASIC-FIT;NL0011872650;BFIT;"Euronext Amsterdam";EUR;30.05;31.60;29.95;30.50;"15/12/20 17:35";CET;263783;8062246.85
"BE SEMICONDUCTOR";NL0012866412;BESI;"Euronext Amsterdam";EUR;46.35;47.42;46.13;47.14;"15/12/20 17:35";CET;360937;16982309.50
BEFIMMO;BE0003678894;BEFB;"Euronext Brussels";EUR;38.35;38.65;38.10;38.50;"15/12/20 17:35";CET;21852;840777.85
BEKAERT;BE0974258874;BEKB;"Euronext Brussels";EUR;27.60;28.20;27.60;28.20;"15/12/20 17:35";CET;110379;3093652.10
BEL;FR0000121857;FBEL;"Euronext Paris";EUR;312.00;316.00;312.00;316.00;"15/12/20 16:31";CET;283;89408.00
BIC;FR0000120966;BB;"Euronext Paris";EUR;48.98;49.44;48.72;48.96;"15/12/20 17:36";CET;40612;1990826.92
BIOMERIEUX;FR0013280286;BIM;"Euronext Paris";EUR;121.20;121.80;113.10;113.10;"15/12/20 17:35";CET;267506;30724642.00
"BNP PARIBAS ACT.A";FR0000131104;BNP;"Euronext Paris";EUR;44.075;45.355;43.90;45.235;"15/12/20 17:35";CET;4143444;186604858.82
BOLLORE;FR0000039299;BOL;"Euronext Paris";EUR;3.40;3.446;3.36;3.434;"15/12/20 17:35";CET;1019666;3500679.51
"BOSKALIS WESTMIN";NL0000852580;BOKA;"Euronext Amsterdam";EUR;20.50;23.12;20.50;23.12;"15/12/20 17:39";CET;1143588;25602840.10
BOUYGUES;FR0000120503;EN;"Euronext Paris";EUR;33.93;34.42;33.73;34.36;"15/12/20 17:35";CET;838482;28710300.36
BPOST;BE0974268972;BPOST;"Euronext Brussels";EUR;8.87;9.185;8.815;8.935;"15/12/20 17:35";CET;492594;4424645.70
BREDERODE;LU1068091351;BREB;"Euronext Brussels";EUR;80.50;81.00;80.30;80.30;"15/12/20 17:36";CET;2336;188363.90
"BUREAU VERITAS";FR0006174348;BVI;"Euronext Paris";EUR;22.61;22.82;22.55;22.62;"15/12/20 17:35";CET;685533;15518784.62
BURELLE;FR0000061137;BUR;"Euronext Paris";EUR;764.00;764.00;756.00;760.00;"15/12/20 17:35";CET;115;87546.00
"BW LPG";BMG173841013;BWLPG;"Oslo Børs";NOK;60.80;61.45;59.45;60.00;"15/12/20 16:27";CET;789905;4482304.76
"CAMBODGE NOM.";FR0000079659;CBDG;"Euronext Paris";EUR;5500.00;5500.00;5500.00;5500.00;"15/12/20 11:30";CET;1;5500.00
CAPGEMINI;FR0000125338;CAP;"Euronext Paris";EUR;115.10;115.45;112.55;114.15;"15/12/20 17:36";CET;460527;52564365.45
CARMILA;FR0010828137;CARM;"Euronext Paris";EUR;11.54;11.74;11.44;11.70;"15/12/20 17:35";CET;111226;1286685.62
CARREFOUR;FR0000120172;CA;"Euronext Paris";EUR;13.77;13.79;13.455;13.505;"15/12/20 17:35";CET;3929299;53265953.15
"CASINO GUICHARD";FR0000125585;CO;"Euronext Paris";EUR;24.83;25.51;24.76;25.31;"15/12/20 17:35";CET;198155;5006896.27
"CATERPILLAR INC";US1491231015;CATR;"Euronext Paris";EUR;150.00;150.00;150.00;150.00;"15/12/20 09:00";CET;4;600.00
CFE;BE0003883031;CFEB;"Euronext Brussels";EUR;76.40;79.70;75.80;79.70;"15/12/20 17:35";CET;22168;1742131.80
CGG;FR0013181864;CGG;"Euronext Paris";EUR;0.825;0.832;0.7902;0.812;"15/12/20 17:35";CET;23153833;18715372.81
"CHRISTIAN DIOR";FR0000130403;CDI;"Euronext Paris";EUR;444.20;451.00;444.20;450.20;"15/12/20 17:35";CET;5883;2640901.60
"CNP ASSURANCES";FR0000120222;CNP;"Euronext Paris";EUR;12.94;13.25;12.92;13.21;"15/12/20 17:35";CET;506626;6663342.37
"COCA-COLA EUROPEAN";GB00BDCPN049;CCEP;"Euronext Amsterdam";EUR;38.55;38.90;38.35;38.60;"15/12/20 17:35";CET;25948;1002495.35
COFACE;FR0010667147;COFA;"Euronext Paris";EUR;8.37;8.45;8.24;8.42;"15/12/20 17:35";CET;282333;2354195.08
COFINIMMO;BE0003593044;COFB;"Euronext Brussels";EUR;122.00;122.40;120.80;121.80;"15/12/20 17:35";CET;48831;5947645.00
COLAS;FR0000121634;RE;"Euronext Paris";EUR;128.00;129.50;127.50;128.50;"15/12/20 17:29";CET;329;42122.50
COLRUYT;BE0974256852;COLR;"Euronext Brussels";EUR;49.54;49.60;48.94;49.11;"15/12/20 17:35";CET;219021;10764172.88
CORBION;NL0010583399;CRBN;"Euronext Amsterdam";EUR;44.70;45.00;44.25;44.75;"15/12/20 17:39";CET;98944;4419779.70
"CORE LABORATORIES";NL0000200384;CLB;"Euronext Amsterdam";EUR;22.60;23.00;22.60;23.00;"15/12/20 17:25";CET;397;9111.00
"CORTICEIRA AMORIM";PTCOR0AE0006;COR;"Euronext Lisbon";EUR;10.50;10.70;10.46;10.70;"15/12/20 22:35";BST;52058;553869.92
COVIVIO;FR0000064578;COV;"Euronext Paris";EUR;75.60;76.55;75.15;76.05;"15/12/20 17:35";CET;124648;9469603.50
"COVIVIO HOTELS";FR0000060303;COVH;"Euronext Paris";EUR;17.55;17.60;17.55;17.55;"15/12/20 17:35";CET;1786;31362.45
"CREDIT AGRICOLE";FR0000045072;ACA;"Euronext Paris";EUR;10.52;10.73;10.45;10.675;"15/12/20 17:35";CET;6607022;70440751.40
"CRH PLC 5PCCumPref";IE0001827264;DD8A;"Euronext Dublin";EUR;-;-;-;-;-;IST;-;-
"CRH PLC 7PCCumPref";IE0001827603;DD8B;"Euronext Dublin";EUR;-;-;-;-;-;IST;-;-
"CRH PLC ord";IE0001827041;CRG;"Euronext Dublin";EUR;32.71;33.00;32.47;32.92;"15/12/20 21:07";IST;1032183;33841971.86
D'IETEREN;BE0974259880;DIE;"Euronext Brussels";EUR;68.00;68.00;67.00;67.00;"15/12/20 17:35";CET;44471;2992617.40
DANONE;FR0000120644;BN;"Euronext Paris";EUR;52.42;52.84;52.32;52.50;"15/12/20 17:35";CET;2008359;105483653.26
"DASSAULT AVIATION";FR0000121725;AM;"Euronext Paris";EUR;896.00;908.50;890.00;906.50;"15/12/20 17:35";CET;6477;5850205.50
"DASSAULT SYSTEMES";FR0000130650;DSY;"Euronext Paris";EUR;156.50;158.55;155.40;157.15;"15/12/20 17:35";CET;297977;46826073.95
DIAGEO;GB0002374006;DGE;"Euronext Paris";EUR;32.92;32.92;32.55;32.55;"15/12/20 13:42";CET;251;8170.42
"DIAGEO PLC";GB0002374006;GUI1;"Euronext Dublin";EUR;-;-;-;-;-;IST;-;-
DNB;NO0010031479;DNB;"Oslo Børs";NOK;161.50;163.45;160.50;161.80;"15/12/20 16:25";CET;2287384;34883695.77
"DSM KON";NL0000009827;DSM;"Euronext Amsterdam";EUR;134.75;136.70;134.25;135.55;"15/12/20 17:35";CET;406309;55101579.60
EDENRED;FR0010908533;EDEN;"Euronext Paris";EUR;46.07;46.64;46.03;46.34;"15/12/20 17:38";CET;307405;14250873.07
EDF;FR0010242511;EDF;"Euronext Paris";EUR;12.395;12.50;12.335;12.50;"15/12/20 17:35";CET;2284802;28460370.03
EDP;PTEDP0AM0009;EDP;"Euronext Lisbon";EUR;4.80;4.805;4.726;4.747;"15/12/20 22:35";BST;6643531;31574035.26
"EDP RENOVAVEIS";ES0127797019;EDPR;"Euronext Lisbon";EUR;19.00;19.58;18.64;19.44;"15/12/20 22:35";BST;752565;14493486.40
EIFFAGE;FR0000130452;FGR;"Euronext Paris";EUR;80.12;81.10;79.56;80.84;"15/12/20 17:35";CET;211861;17031235.38
"ELIA GROUP";BE0003822393;ELI;"Euronext Brussels";EUR;93.80;94.00;91.90;92.10;"15/12/20 17:35";CET;41907;3866792.40
"ELIOR GROUP";FR0011950732;ELIOR;"Euronext Paris";EUR;5.54;5.585;5.45;5.58;"15/12/20 17:35";CET;640054;3537263.20
ELIS;FR0012435121;ELIS;"Euronext Paris";EUR;12.91;13.34;12.77;13.30;"15/12/20 17:39";CET;340596;4470530.86
Elkem;NO0010816093;ELK;"Oslo Børs";NOK;27.76;28.28;27.26;27.30;"15/12/20 16:25";CET;791797;2057608.82
ENGIE;FR0010208488;ENGI;"Euronext Paris, Brussels";EUR;12.50;12.54;12.385;12.43;"15/12/20 17:30";CET;5026817;62513306.22
Entra;NO0010716418;ENTRA;"Oslo Børs";NOK;173.70;178.00;173.20;177.40;"15/12/20 16:25";CET;663539;11049259.99
Equinor;NO0010096985;EQNR;"Oslo Børs";NOK;144.55;147.55;144.55;146.40;"15/12/20 16:25";CET;2330416;32096004.16
ERAMET;FR0000131757;ERA;"Euronext Paris";EUR;39.00;40.35;39.00;40.20;"15/12/20 17:35";CET;52234;2087582.83
ESSILORLUXOTTICA;FR0000121667;EL;"Euronext Paris";EUR;129.65;130.05;129.00;129.20;"15/12/20 17:35";CET;666188;86187232.90
EURAZEO;FR0000121121;RF;"Euronext Paris";EUR;55.10;56.45;54.95;56.20;"15/12/20 17:37";CET;147496;8230911.55
EUROCOMMERCIAL;NL0000288876;ECMPA;"Euronext Amsterdam, Brussels";EUR;14.14;14.98;14.06;14.98;"15/12/20 17:35";CET;170989;2514818.18
"EUROFINS SCIENT.";FR0014000MR3;ERF;"Euronext Paris";EUR;68.76;69.36;66.07;66.30;"15/12/20 17:35";CET;444461;29756549.02
EURONAV;BE0003816338;EURN;"Euronext Brussels";EUR;6.78;6.845;6.735;6.815;"15/12/20 17:35";CET;628658;4268171.91
EURONEXT;NL0006294274;ENX;"Euronext Paris, Amsterdam, Brussels";EUR;87.50;87.70;86.35;87.00;"15/12/20 17:35";CET;167814;14601576.55
EURONEXT;NL0006294274;ENXP;"Euronext Lisbon";EUR;-;-;-;-;-;BST;-;-
"EUTELSAT COMMUNIC.";FR0010221234;ETL;"Euronext Paris";EUR;9.284;9.456;9.24;9.456;"15/12/20 17:39";CET;562865;5287537.31
FAGRON;BE0003874915;FAGR;"Euronext Brussels, Amsterdam";EUR;18.92;19.20;18.87;19.15;"15/12/20 17:37";CET;42114;800577.56
FAURECIA;FR0000121147;EO;"Euronext Paris";EUR;40.21;41.12;40.12;41.03;"15/12/20 17:35";CET;285585;11656772.08
FDJ;FR0013451333;FDJ;"Euronext Paris";EUR;35.56;35.67;35.24;35.37;"15/12/20 17:37";CET;251709;8903683.81
FFP;FR0000064784;FFP;"Euronext Paris";EUR;92.00;94.00;92.00;93.60;"15/12/20 17:35";CET;8358;777676.30
"FINANCIERE ODET";FR0000062234;ODET;"Euronext Paris";EUR;742.00;748.00;742.00;742.00;"15/12/20 17:35";CET;63;46866.00
"FLOW TRADERS";NL0011279492;FLOW;"Euronext Amsterdam";EUR;26.30;26.32;25.86;25.98;"15/12/20 17:37";CET;198977;5173185.24
"FLUTTER ENTERTAIN";IE00BWT6H894;FLTR;"Euronext Dublin";EUR;163.10;168.25;163.10;167.70;"15/12/20 21:07";IST;314846;52668280.35
"FNAC DARTY";FR0011476928;FNAC;"Euronext Paris";EUR;50.00;51.60;49.60;51.40;"15/12/20 17:39";CET;101926;5189691.44
"FONCIERE LYONNAISE";FR0000033409;FLY;"Euronext Paris";EUR;62.40;63.80;62.40;63.00;"15/12/20 17:29";CET;1161;73070.40
Frontline;BMG3682E1921;FRO;"Oslo Børs";NOK;58.30;59.25;58.20;58.40;"15/12/20 16:27";CET;590007;3260734.47
GALAPAGOS;BE0003818359;GLPG;"Euronext Amsterdam, Brussels";EUR;97.50;99.34;97.00;97.06;"15/12/20 17:36";CET;364302;35664224.60
"GALP ENERGIA-NOM";PTGAL0AM0009;GALP;"Euronext Lisbon";EUR;8.95;9.088;8.822;8.884;"15/12/20 22:35";BST;2268459;20224555.73
GBL;BE0003797140;GBLB;"Euronext Brussels";EUR;81.72;82.80;81.50;82.36;"15/12/20 17:39";CET;192766;15879318.70
GECINA;FR0010040865;GFC;"Euronext Paris";EUR;125.60;127.70;124.60;126.00;"15/12/20 17:35";CET;105748;13316952.60
"GENERAL ELECTRIC";US3696041033;GNE;"Euronext Paris";EUR;8.80;9.108;8.702;9.00;"15/12/20 17:22";CET;5769;51057.58
"GETLINK SE";FR0010533075;GET;"Euronext Paris";EUR;13.46;13.63;13.36;13.61;"15/12/20 17:35";CET;808297;10942631.34
GIMV;BE0003699130;GIMB;"Euronext Brussels";EUR;49.15;49.25;48.95;49.05;"15/12/20 17:35";CET;7972;391248.70
"Gjensidige Forsikr";NO0010582521;GJF;"Oslo Børs";NOK;184.30;185.80;184.30;185.80;"15/12/20 16:29";CET;429494;7506339.64
"GLANBIA PLC";IE0000669501;GL9;"Euronext Dublin";EUR;10.52;10.52;10.35;10.40;"15/12/20 21:08";IST;785784;8198850.85
GRANDVISION;NL0010937066;GVNV;"Euronext Amsterdam";EUR;25.35;25.35;24.60;24.85;"15/12/20 17:35";CET;35788;888035.85
"Grieg Seafood";NO0010365521;GSF;"Oslo Børs";NOK;74.35;76.60;73.95;76.60;"15/12/20 16:26";CET;253033;1800201.76
GTT;FR0011726835;GTT;"Euronext Paris";EUR;79.10;79.35;78.05;78.15;"15/12/20 17:35";CET;61689;4841344.50
"HAL TRUST";BMG455841020;HAL;"Euronext Amsterdam";EUR;114.80;118.00;114.60;117.20;"15/12/20 17:35";CET;13428;1569813.00
HEINEKEN;NL0000009165;HEIA;"Euronext Amsterdam";EUR;91.98;91.98;89.72;89.72;"15/12/20 17:35";CET;791832;71424079.90
"HEINEKEN HOLDING";NL0000008977;HEIO;"Euronext Amsterdam";EUR;80.00;80.00;78.10;78.10;"15/12/20 17:35";CET;160796;12606677.60
"HERMES INTL";FR0000052292;RMS;"Euronext Paris";EUR;846.80;855.60;845.40;853.60;"15/12/20 17:36";CET;63580;54192114.00
"HSBC HOLDINGS";GB0005405286;HSB;"Euronext Paris";EUR;4.311;4.45;4.311;4.45;"15/12/20 17:30";CET;231482;1009798.31
"HUNTER DOUGLAS";ANN4327C1220;HDG;"Euronext Amsterdam";EUR;63.40;63.60;63.40;63.40;"15/12/20 17:35";CET;92323;5854181.80
"HUNTER DOUGLAS";ANN4327C1303;HUNDP;"Euronext Amsterdam";EUR;0.30;0.30;0.30;0.30;"15/12/20 17:19";CET;1295;388.50
ICADE;FR0000035081;ICAD;"Euronext Paris";EUR;64.15;65.05;63.50;64.55;"15/12/20 17:35";CET;100912;6502974.05
"ID LOGISTICS GROUP";FR0010929125;IDL;"Euronext Paris";EUR;208.00;215.50;208.00;214.00;"15/12/20 17:35";CET;1969;419793.50
IFF;US4595061015;IFF;"Euronext Paris";EUR;114.00;114.00;114.00;114.00;"20/11/20 09:20";CET;20;2280.00
ILIAD;FR0004035913;ILD;"Euronext Paris";EUR;174.05;174.05;169.30;170.20;"15/12/20 17:39";CET;78011;13324038.40
IMCD;NL0010801007;IMCD;"Euronext Amsterdam";EUR;101.05;102.35;100.30;100.30;"15/12/20 17:35";CET;104506;10547546.05
IMERYS;FR0000120859;NK;"Euronext Paris";EUR;37.00;38.22;37.00;38.16;"15/12/20 17:35";CET;129896;4915284.60
"ING GROEP N.V.";NL0011821202;INGA;"Euronext Amsterdam, Brussels";EUR;7.896;8.143;7.855;8.10;"15/12/20 17:35";CET;17380287;139862738.34
INTERPARFUMS;FR0004024222;ITP;"Euronext Paris";EUR;43.95;44.20;43.75;43.85;"15/12/20 17:37";CET;15841;695461.50
INTERTRUST;NL0010937058;INTER;"Euronext Amsterdam";EUR;12.44;12.48;12.34;12.46;"15/12/20 17:35";CET;74716;928303.44
IPSEN;FR0010259150;IPN;"Euronext Paris";EUR;68.85;69.15;67.75;68.85;"15/12/20 17:35";CET;86445;5934933.50
IPSOS;FR0000073298;IPS;"Euronext Paris";EUR;28.65;30.00;28.65;29.70;"15/12/20 17:35";CET;100253;2967296.45
J.MARTINS,SGPS;PTJMT0AE0001;JMT;"Euronext Lisbon";EUR;14.525;14.525;14.155;14.18;"15/12/20 22:35";BST;896552;12764104.31
"JC DECAUX SA.";FR0000077919;DEC;"Euronext Paris";EUR;19.65;20.12;19.65;20.12;"15/12/20 17:35";CET;129354;2589101.34
"JDE PEET'S";NL0014332678;JDEP;"Euronext Amsterdam";EUR;33.61;34.29;33.40;34.25;"15/12/20 17:35";CET;200314;6829861.21
"JUST EAT TAKEAWAY";NL0012015705;TKWY;"Euronext Amsterdam";EUR;87.80;88.44;86.90;86.90;"15/12/20 17:35";CET;371666;32528097.22
KBC;BE0003565737;KBC;"Euronext Brussels";EUR;60.28;61.08;60.08;60.66;"15/12/20 17:37";CET;756039;45811813.76
"KBC ANCORA";BE0003867844;KBCA;"Euronext Brussels";EUR;35.14;35.70;35.00;35.70;"15/12/20 17:35";CET;24990;884937.36
KERING;FR0000121485;KER;"Euronext Paris";EUR;565.00;573.20;563.90;569.70;"15/12/20 17:35";CET;245735;140022140.80
"KERRY GROUP PLC";IE0004906560;KRZ;"Euronext Dublin";EUR;120.90;121.50;119.20;119.90;"15/12/20 21:08";IST;186131;22345155.80
"KINEPOLIS GROUP";BE0974274061;KIN;"Euronext Brussels";EUR;31.90;32.40;31.85;32.05;"15/12/20 17:35";CET;39202;1258012.95
"KINGSPAN GROUP PLC";IE0004927939;KRX;"Euronext Dublin";EUR;72.45;72.45;68.50;68.50;"15/12/20 21:08";IST;784825;54278713.75
KLEPIERRE;FR0000121964;LI;"Euronext Paris";EUR;18.57;19.05;18.50;19.005;"15/12/20 17:35";CET;1095776;20694132.30
"Kongsberg Gruppen";NO0003043309;KOG;"Oslo Børs";NOK;167.00;170.20;166.00;166.40;"15/12/20 16:25";CET;152168;2400982.96
KORIAN;FR0010386334;KORI;"Euronext Paris";EUR;29.16;29.66;28.82;29.52;"15/12/20 17:35";CET;157267;4614165.08
"KPN KON";NL0000009082;KPN;"Euronext Amsterdam";EUR;2.455;2.46;2.397;2.405;"15/12/20 17:35";CET;24878249;60177796.27
L''OREAL;FR0000120321;OR;"Euronext Paris";EUR;302.50;306.20;302.50;302.50;"15/12/20 17:35";CET;393158;119298731.10
"LAFARGEHOLCIM LTD";CH0012214059;LHN;"Euronext Paris";EUR;43.18;43.63;42.99;43.33;"15/12/20 17:35";CET;9641;417559.72
"LAGARDERE S.C.A.";FR0000130213;MMB;"Euronext Paris";EUR;19.53;20.02;19.47;19.94;"15/12/20 17:35";CET;136923;2711153.44
LDC;FR0013204336;LOUP;"Euronext Paris";EUR;99.00;100.00;99.00;99.40;"15/12/20 17:28";CET;643;63920.20
LEGRAND;FR0010307819;LR;"Euronext Paris";EUR;70.96;71.42;70.64;71.18;"15/12/20 17:35";CET;382711;27232338.82
"Lerøy Seafood Gp";NO0003096208;LSG;"Oslo Børs";NOK;54.50;55.34;54.20;54.72;"15/12/20 16:28";CET;1131880;5827987.01
"Link Mobility Grp";NO0010894231;LINK;"Oslo Børs";NOK;46.00;46.98;44.50;45.425;"15/12/20 16:25";CET;403808;1710025.23
LISI;FR0000050353;FII;"Euronext Paris";EUR;21.00;21.25;20.65;21.25;"15/12/20 17:35";CET;15414;323829.85
"LOTUS BAKERIES";BE0003604155;LOTB;"Euronext Brussels";EUR;3560.00;3560.00;3520.00;3530.00;"15/12/20 17:35";CET;152;537810.00
LVMH;FR0000121014;MC;"Euronext Paris";EUR;510.50;515.20;507.20;507.20;"15/12/20 17:35";CET;535189;272710681.90
MAREL;IS0000000388;MAREL;"Euronext Amsterdam";EUR;5.02;5.08;4.90;4.96;"15/12/20 17:35";CET;134686;669179.14
"MAROC TELECOM";MA0000011488;IAM;"Euronext Paris";EUR;13.50;13.50;13.50;13.50;"15/12/20 11:00";CET;149;2011.50
MELEXIS;BE0165385973;MELE;"Euronext Brussels";EUR;79.35;81.85;78.75;81.85;"15/12/20 17:35";CET;34310;2766472.65
